returned_id,order_id,sales_id,order_status
1,3,1,Delivered
2,6,2,Delivered
3,32,3,Delivered
4,32,4,Delivered
5,32,5,Delivered
6,32,6,Delivered
7,35,7,Delivered
8,35,8,Delivered
9,36,9,Delivered
10,65,10,Returned
11,66,11,Delivered
12,69,12,Returned
13,69,13,Returned
14,70,14,Delivered
15,70,15,Delivered
16,96,16,Delivered
17,97,17,Delivered
18,129,18,Delivered
19,130,19,Delivered
20,130,20,Delivered
21,130,21,Delivered
22,132,22,Delivered
23,132,23,Delivered
24,134,24,Returned
25,135,25,Returned
26,166,26,Delivered
27,193,27,Delivered
28,194,28,Delivered
29,194,29,Delivered
30,195,30,Delivered
31,197,31,Delivered
32,224,32,Delivered
33,224,33,Delivered
34,224,34,Delivered
35,225,35,Delivered
36,225,36,Delivered
37,229,37,Delivered
38,229,38,Delivered
39,230,39,Returned
40,230,40,Returned
41,231,41,Delivered
42,258,42,Delivered
43,258,43,Delivered
44,258,44,Delivered
45,261,45,Delivered
46,263,46,Delivered
47,290,47,Delivered
48,292,48,Delivered
49,293,49,Delivered
50,293,50,Delivered
51,294,51,Delivered
52,322,52,Delivered
53,322,53,Delivered
54,323,54,Delivered
55,323,55,Delivered
56,324,56,Returned
57,325,57,Delivered
58,326,58,Delivered
59,326,59,Delivered
60,353,60,Delivered
61,355,61,Delivered
62,358,62,Delivered
63,358,63,Delivered
64,359,64,Returned
65,384,65,Delivered
66,386,66,Delivered
67,386,67,Delivered
68,388,68,Delivered
69,416,69,Delivered
70,417,70,Delivered
71,417,71,Delivered
72,420,72,Delivered
73,420,73,Delivered
74,448,74,Delivered
75,449,75,Delivered
76,450,76,Delivered
77,450,77,Delivered
78,454,78,Delivered
79,481,79,Delivered
80,483,80,Delivered
81,487,81,Delivered
82,512,82,Delivered
83,512,83,Delivered
84,513,84,Delivered
85,515,85,Delivered
86,515,86,Delivered
87,548,87,Delivered
88,548,88,Delivered
89,548,89,Delivered
90,549,90,Delivered
91,549,91,Delivered
92,549,92,Delivered
93,610,93,Delivered
94,611,94,Delivered
95,612,95,Returned
96,612,96,Returned
97,613,97,Delivered
98,613,98,Delivered
99,614,99,Returned
100,614,100,Returned
101,640,101,Delivered
102,640,102,Delivered
103,643,103,Delivered
104,644,104,Delivered
105,645,105,Delivered
106,646,106,Delivered
107,678,107,Returned
108,706,108,Delivered
109,710,109,Returned
110,710,110,Returned
111,710,111,Returned
112,738,112,Delivered
113,738,113,Delivered
114,740,114,Returned
115,769,115,Delivered
116,771,116,Delivered
117,772,117,Delivered
118,772,118,Delivered
119,773,119,Delivered
120,774,120,Delivered
121,775,121,Returned
122,775,122,Returned
123,801,123,Delivered
124,802,124,Delivered
125,802,125,Delivered
126,805,126,Delivered
127,807,127,Delivered
128,807,128,Delivered
129,832,129,Delivered
130,833,130,Returned
131,834,131,Delivered
132,835,132,Delivered
133,837,133,Delivered
134,868,134,Delivered
135,868,135,Delivered
136,870,136,Delivered
137,871,137,Delivered
138,896,138,Delivered
139,898,139,Delivered
140,898,140,Delivered
141,900,141,Delivered
142,902,142,Returned
143,928,143,Returned
144,928,144,Returned
145,929,145,Delivered
146,929,146,Delivered
147,930,147,Returned
148,930,148,Returned
149,933,149,Delivered
150,960,150,Delivered
151,962,151,Delivered
152,962,152,Delivered
153,964,153,Delivered
154,964,154,Delivered
155,965,155,Delivered
156,967,156,Delivered
157,967,157,Delivered
158,967,158,Delivered
159,994,159,Delivered
160,995,160,Delivered
161,998,161,Delivered
162,999,162,Delivered
163,1027,163,Delivered
164,1028,164,Delivered
165,1028,165,Delivered
166,1031,166,Delivered
167,1057,167,Delivered
168,1058,168,Delivered
169,1059,169,Delivered
170,1059,170,Delivered
171,1060,171,Returned
172,1088,172,Delivered
173,1095,173,Delivered
174,1127,174,Returned
175,1154,175,Delivered
176,1154,176,Delivered
177,1154,177,Delivered
178,1154,178,Delivered
179,1185,179,Delivered
180,1187,180,Delivered
181,1189,181,Delivered
182,1191,182,Delivered
183,1217,183,Delivered
184,1218,184,Delivered
185,1221,185,Delivered
186,1221,186,Delivered
187,1221,187,Delivered
188,1222,188,Delivered
189,1253,189,Delivered
190,1280,190,Delivered
191,1282,191,Delivered
192,1282,192,Delivered
193,1285,193,Returned
194,1285,194,Returned
195,1286,195,Delivered
196,1286,196,Delivered
197,1287,197,Delivered
198,1313,198,Delivered
199,1314,199,Delivered
200,1317,200,Returned
201,1317,201,Returned
202,1317,202,Returned
203,1344,203,Delivered
204,1344,204,Delivered
205,1345,205,Delivered
206,1346,206,Delivered
207,1382,207,Returned
208,1382,208,Returned
209,1382,209,Returned
210,1383,210,Delivered
211,1411,211,Delivered
212,1411,212,Delivered
213,1412,213,Delivered
214,1412,214,Delivered
215,1414,215,Delivered
216,1440,216,Delivered
217,1444,217,Delivered
218,1444,218,Delivered
219,1444,219,Delivered
220,1444,220,Delivered
221,1444,221,Delivered
222,1445,222,Delivered
223,1445,223,Delivered
224,1447,224,Delivered
225,1504,225,Delivered
226,1507,226,Delivered
227,1537,227,Delivered
228,1538,228,Returned
229,1539,229,Delivered
230,1539,230,Delivered
231,1540,231,Delivered
232,1542,232,Delivered
233,1542,233,Delivered
234,1573,234,Delivered
235,1575,235,Delivered
236,1575,236,Delivered
237,1600,237,Delivered
238,1600,238,Delivered
239,1604,239,Delivered
240,1637,240,Delivered
241,1637,241,Delivered
242,1637,242,Delivered
243,1639,243,Delivered
244,1665,244,Returned
245,1666,245,Delivered
246,1699,246,Delivered
247,1701,247,Delivered
248,1701,248,Delivered
249,1702,249,Delivered
250,1761,250,Delivered
251,1762,251,Delivered
252,1762,252,Delivered
253,1762,253,Delivered
254,1764,254,Delivered
255,1767,255,Delivered
256,1792,256,Delivered
257,1793,257,Delivered
258,1796,258,Delivered
259,1799,259,Delivered
260,1799,260,Delivered
261,1824,261,Delivered
262,1824,262,Delivered
263,1825,263,Delivered
264,1826,264,Delivered
265,1829,265,Delivered
266,1831,266,Delivered
267,1856,267,Delivered
268,1856,268,Delivered
269,1856,269,Delivered
270,1857,270,Delivered
271,1863,271,Delivered
272,1888,272,Delivered
273,1888,273,Delivered
274,1891,274,Delivered
275,1892,275,Delivered
276,1892,276,Delivered
277,1895,277,Delivered
278,1921,278,Returned
279,1925,279,Delivered
280,1925,280,Delivered
281,1952,281,Delivered
282,1953,282,Delivered
283,1985,283,Delivered
284,1985,284,Delivered
285,1988,285,Delivered
286,1991,286,Delivered
287,1991,287,Delivered
288,2020,288,Delivered
289,2022,289,Delivered
290,2023,290,Delivered
291,2023,291,Delivered
292,2048,292,Delivered
293,2048,293,Delivered
294,2050,294,Returned
295,2050,295,Returned
296,2052,296,Returned
297,2053,297,Delivered
298,2053,298,Delivered
299,2054,299,Delivered
300,2054,300,Delivered
301,2055,301,Returned
302,2084,302,Delivered
303,2086,303,Delivered
304,2086,304,Delivered
305,2086,305,Delivered
306,2144,306,Delivered
307,2146,307,Returned
308,2146,308,Returned
309,2147,309,Delivered
310,2149,310,Delivered
311,2150,311,Delivered
312,2181,312,Delivered
313,2181,313,Delivered
314,2208,314,Delivered
315,2208,315,Delivered
316,2209,316,Delivered
317,2209,317,Delivered
318,2209,318,Delivered
319,2209,319,Delivered
320,2211,320,Delivered
321,2211,321,Delivered
322,2211,322,Delivered
323,2213,323,Returned
324,2240,324,Returned
325,2240,325,Returned
326,2241,326,Delivered
327,2244,327,Delivered
328,2247,328,Delivered
329,2272,329,Delivered
330,2275,330,Delivered
331,2277,331,Delivered
332,2277,332,Delivered
333,2279,333,Delivered
334,2279,334,Delivered
335,2305,335,Delivered
336,2305,336,Delivered
337,2305,337,Delivered
338,2306,338,Delivered
339,2307,339,Delivered
340,2309,340,Delivered
341,2311,341,Delivered
342,2339,342,Delivered
343,2341,343,Delivered
344,2368,344,Delivered
345,2370,345,Delivered
346,2370,346,Delivered
347,2373,347,Delivered
348,2374,348,Delivered
349,2433,349,Delivered
350,2436,350,Delivered
351,2438,351,Delivered
352,2438,352,Delivered
353,2465,353,Delivered
354,2466,354,Delivered
355,2467,355,Delivered
356,2497,356,Delivered
357,2500,357,Returned
358,2503,358,Returned
359,2503,359,Returned
360,2503,360,Returned
361,2530,361,Delivered
362,2532,362,Delivered
363,2532,363,Delivered
364,2535,364,Delivered
365,2560,365,Delivered
366,2560,366,Delivered
367,2562,367,Returned
368,2562,368,Returned
369,2562,369,Returned
370,2563,370,Delivered
371,2563,371,Delivered
372,2593,372,Delivered
373,2593,373,Delivered
374,2595,374,Delivered
375,2595,375,Delivered
376,2595,376,Delivered
